course_code,competency,competency_score,keyword_score,total_score
COMM 386L,Uncertainty Management,0.12058475060621276,0.13622628129087389,0.12840551594854333
COMM 386I,Entrepreneurial Mindset,0.40431248148282367,0.1028158920040975,0.2535641867434606
COMM 386I,Opportunity Recognition,0.3082212677432431,0.2720579293866952,0.2901395985649692
COMM 386I,Market Research,0.11871318063802189,0.15718697198705436,0.13795007631253814
COMM 386I,Product Development,0.18382130935788155,0.16798508467359674,0.17590319701573914
COMM 386I,Marketing,0.19660668033692572,0.15114577361641246,0.1738762269766691
COMM 386I,Business Modeling,0.25000350094503826,0.11211450211703777,0.18105900153103802
COMM 386I,Managerial Decision Making,0.18130989000201225,0.178453170047659,0.17988153002483565
COMM 386I,Legal ,0.08620078753059109,0.028982507155483797,0.05759164734303744
COMM 386I,Financial Decision Making,0.28596292436122894,0.1930978207124604,0.23953037253684467
COMM 386I,Observational skills,0.2422877255206307,0.6296138163242075,0.43595077092241913
COMM 386I,Creativity skills,0.1933899059270819,0.4231342598795891,0.3082620829033355
COMM 386I,Problem solving skills,0.3363735096774892,0.29939006695834297,0.3178817883179161
COMM 386I,Communication skills,0.4570962224000444,0.6073508821427822,0.5322235522714133
COMM 386I,Decision-making skills,0.49587701607702506,0.7151952617698245,0.6055361389234248
COMM 386I,Planning and project managing skills,0.12942386846083942,0.1772744225131141,0.15334914548697676
COMM 386I,Networking skills,0.06347194383852184,0.1417325325956982,0.10260223821711002
COMM 386I,Negotiating skills,0.14077086749926415,0.2409456061820189,0.19085823684064152
COMM 386I,Self-Aware,0.29954883580406505,0.6793403393692441,0.48944458758665454
COMM 386I,Enterprising Traits,0.5006410264306598,0.28107633503774804,0.39085868073420393
COMM 386I,Self-Directed,0.134600248769857,0.4562497447348303,0.2954249967523437
COMM 386I,Teamwork,0.35903042803208035,0.07879382873781854,0.21891212838494944
COMM 386I,Uncertainty Management,0.14250314401255715,0.13487080513732508,0.1386869745749411
COMM 387/COMR 387/COEC 387,Entrepreneurial Mindset,0.6793569709573474,0.3962702133825847,0.537813592169966
COMM 387/COMR 387/COEC 387,Opportunity Recognition,0.4476308247872761,0.4510341989142554,0.4493325118507657
COMM 387/COMR 387/COEC 387,Market Research,0.289377896381276,0.44436644124133245,0.36687216881130424
COMM 387/COMR 387/COEC 387,Product Development,0.21059309531535422,0.3599171643810613,0.2852551298482078
COMM 387/COMR 387/COEC 387,Marketing,0.17997798070843732,0.23142780430082763,0.20570289250463247
COMM 387/COMR 387/COEC 387,Business Modeling,0.328708589343088,0.43376849059547695,0.3812385399692825
COMM 387/COMR 387/COEC 387,Managerial Decision Making,0.24157889666301863,0.4618949741125107,0.3517369353877646
COMM 387/COMR 387/COEC 387,Legal ,0.1679784660892827,0.3187860358572964,0.24338225097328958
COMM 387/COMR 387/COEC 387,Financial Decision Making,0.5545354613236019,0.6778661140373775,0.6162007876804897
COMM 387/COMR 387/COEC 387,Observational skills,0.40161033613341196,0.8292113798005241,0.615410857966968
COMM 387/COMR 387/COEC 387,Creativity skills,0.3939458706549236,0.6432059832981655,0.5185759269765445
COMM 387/COMR 387/COEC 387,Problem solving skills,0.5642346101147788,0.6013223060539791,0.5827784580843789
COMM 387/COMR 387/COEC 387,Communication skills,0.433119209749358,0.5638174627508435,0.4984683362501008
COMM 387/COMR 387/COEC 387,Decision-making skills,0.5296235531568527,0.8879210523196629,0.7087723027382578
